Name,Runtime,Seasons,Status,Genre,NetworkID
Always Sunny in Philidelphia,30,12,On,Comedy,1
House Hunters,30,162,On,Reality,2
Fixer Upper,60,5,Off,Reality,2
Fresh Off the Boat,30,5,On,Comedy,3
Killing Eve,60,1,On,Thriller,4
Futurama,30,7,Off,Comedy,5
Brooklyn Nine Nine,30,6,On,Comedy,5
Kitchen Nightmares,60,6,Off,Reality,5
Hell's Kitchen,60,18,On,Competition,5
The Bachelor,90,23,On,Reality,3
Shameless,60,10,On,Drama,6
Chopped,60,40,On,Competition,7
Catfish,60,7,Off,Reality,8
911,60,2,On,Drama,5
Scream Queens,60,2,Off,Thriller,5
The Mindy Project,30,6,Off,Comedy,4
American Horror Story,60,8,On,Horror,9
New Girl,30,7,Off,Comedy,5
Parks and Recreation,30,8,Off,Comedy,10
Broad City,30,5,On,Comedy,11
Forensic Files,30,11,Off,Crime,10
Jeapardy,30,35,On,Game show,10
Nailed It!,45,2,On,Competition,12
Breaking Bad,60,5,Off,Drama,13
Black Mirror,60,4,On,Horror,12
You,60,1,On,Thriller,12
Bob's Burgers,30,9,On,Comedy,5
Dear White People,30,2,On,Drama,12
Queer Eye,50,2,On,Reality,12
Avatar the Last Airbender,30,3,Off,Comedy,14
Bates Motel,60,5,Off,Thriller,15
Big Brother,60,20,On,Reality,16
Botched,60,5,On,Reality,17
America’s Next Top Model,60,24,On,Competition,18
Sesame Street,30,49,On,Children’s ,19
Claws,30,2,On,Drama,20
Vikings,60,5,On,Drama,21
Modern Family,30,10,On,Comedy,22
Man vs. Wild,60,5,Off,Reality,23
Mars,60,2,On,Educational,24
Impractical Jokers,30,8,On,Comedy,25
Rupaul’s Drag Race,60,14,On,Competition ,26
Project Runway,60,17,On,Competition ,27
Dance Moms,60,7,Off,Reality,28
My 600 Pound Life,60,7,On,Reality,29
The Flintstones,30,6,Off,Cartoon,30
